Date,JPM,WFC
2023-06-07,132.0678253173828,39.25899887084961
2023-06-08,132.10537719726562,39.53895568847656
2023-06-09,132.3682098388672,39.31499481201172
2023-06-12,132.35885620117188,39.035037994384766
2023-06-13,133.31634521484375,39.80023956298828
2023-06-14,132.81878662109375,39.268333435058594
2023-06-15,134.3207550048828,39.52962875366211
2023-06-16,134.48033142089844,39.36165237426758
2023-06-20,133.79505920410156,39.091026306152344
2023-06-21,133.5979461669922,38.8670654296875
2023-06-22,131.0258331298828,38.31648635864258
2023-06-23,130.340576171875,37.89655685424805
2023-06-26,130.65975952148438,37.877891540527344
2023-06-27,130.66915893554688,38.17650604248047
2023-06-28,130.0965576171875,37.9058837890625
2023-06-29,134.63990783691406,39.61361312866211
2023-06-30,136.5267333984375,39.8282470703125
2023-07-03,137.62501525878906,40.50014114379883
2023-07-05,136.7082061767578,40.57479095458984
2023-07-06,135.3566436767578,40.024208068847656
2023-07-07,136.42465209960938,39.912227630615234
2023-07-10,137.1902313232422,39.49229431152344
2023-07-11,139.33575439453125,39.88424301147461
2023-07-12,140.02574157714844,40.369483947753906
2023-07-13,140.70623779296875,40.78942108154297
2023-07-14,141.55690002441406,40.64944076538086
2023-07-17,144.9689178466797,41.75059509277344
2023-07-18,145.23358154296875,42.553131103515625
2023-07-19,145.7912139892578,43.16902923583984
2023-07-20,147.5870361328125,43.98090744018555
2023-07-21,146.45285034179688,42.88908004760742
2023-07-24,149.33558654785156,43.31834030151367
2023-07-25,148.2202911376953,42.44115447998047
2023-07-26,149.10873413085938,43.337005615234375
2023-07-27,147.4641571044922,42.71177291870117
2023-07-28,148.30538940429688,43.05705261230469
2023-07-31,149.29779052734375,43.07571792602539
2023-08-01,148.560546875,42.65578079223633
2023-08-02,146.87815856933594,42.0865364074707
2023-08-03,147.77606201171875,42.462738037109375
2023-08-04,147.4641571044922,42.18059158325195
2023-08-07,148.16357421875,42.37809753417969
2023-08-08,147.33184814453125,41.832618713378906
2023-08-09,145.3564453125,41.11785125732422
2023-08-10,145.13905334472656,41.070823669433594
2023-08-11,145.98025512695312,41.127254486083984
2023-08-14,146.28268432617188,41.13665771484375
2023-08-15,142.5587615966797,40.186771392822266
2023-08-16,141.95387268066406,39.70712661743164
2023-08-17,140.47943115234375,39.94224166870117
2023-08-18,140.80078125,39.970458984375
2023-08-21,141.28277587890625,39.961055755615234
2023-08-22,138.35279846191406,39.02997589111328
2023-08-23,139.28851318359375,39.13343048095703
2023-08-24,139.15618896484375,38.964149475097656
2023-08-25,138.98605346679688,38.77604675292969
2023-08-28,139.46810913085938,39.387359619140625
2023-08-29,140.60226440429688,39.50022506713867
2023-08-30,140.03518676757812,39.067596435546875
2023-08-31,138.3055419921875,38.83247756958008
2023-09-01,138.76869201660156,39.17105865478515
2023-09-05,137.23753356933594,39.067596435546875
2023-09-06,137.01068115234375,38.57854461669922
2023-09-07,135.83865356445312,38.02366256713867
2023-09-08,135.94264221191406,38.55973815917969
2023-09-11,136.53811645507812,38.87009811401367
2023-09-12,138.3149871826172,40.008079528808594
2023-09-13,138.3811492919922,39.73534393310547
2023-09-14,141.06541442871094,40.48772048950195
2023-09-15,140.6495361328125,40.393680572509766
2023-09-18,140.9425506591797,40.84510803222656
2023-09-19,140.76296997070312,40.647613525390625
2023-09-20,140.1675262451172,40.31843948364258
2023-09-21,139.07110595703125,39.801177978515625
2023-09-22,137.7384033203125,38.77604675292969
2023-09-25,138.4189453125,39.08641052246094
2023-09-26,136.9822998046875,38.23057174682617
2023-09-27,137.7856903076172,38.42807388305664
2023-09-28,139.49644470214844,38.47509002685547
2023-09-29,137.06739807128906,38.42807388305664
2023-10-02,135.8859405517578,37.25246810913086
2023-10-03,134.8840789794922,36.368412017822266
2023-10-04,135.48895263671875,36.65055847167969
2023-10-05,136.0602264404297,36.96091842651367
2023-10-06,138.15493774414062,37.32770538330078
2023-10-09,137.84072875976562,37.33711242675781
2023-10-10,138.67860412597656,37.449974060058594
2023-10-11,139.15469360351562,37.32770538330078
2023-10-12,138.83096313476562,37.374732971191406
2023-10-13,140.91615295410156,38.522117614746094
2023-10-16,140.7733154296875,39.17105865478515
2023-10-17,140.46861267089844,39.48141098022461
2023-10-18,138.92617797851562,39.058197021484375
2023-10-19,138.33583068847656,38.72902297973633
2023-10-20,136.10784912109375,37.87318420410156
2023-10-23,134.25119018554688,37.13020706176758
2023-10-24,134.41307067871094,36.94211196899414
2023-10-25,133.67991638183594,36.70698928833008
2023-10-26,134.02267456054688,37.29009246826172
2023-10-27,129.19534301757812,36.45305633544922
2023-10-30,130.842529296875,37.08318328857422
2023-10-31,132.404052734375,37.40294647216797
2023-11-01,132.28977966308594,37.25246810913086
2023-11-02,134.65109252929688,38.43854904174805
2023-11-03,136.15545654296875,39.491790771484375
2023-11-06,137.1837615966797,39.226104736328125
2023-11-07,137.1171112060547,38.94144821166992
2023-11-08,137.7931365966797,38.88451385498047
2023-11-09,137.3837127685547,38.33417892456055
2023-11-10,139.42127990722656,38.79912185668945
2023-11-13,138.80239868164062,38.68524932861328
2023-11-14,141.3350830078125,39.92826843261719
2023-11-15,142.57286071777344,40.64940643310547
2023-11-16,144.2010040283203,40.35525894165039
2023-11-17,145.5054168701172,40.763275146484375
2023-11-20,145.95291137695312,40.60196685791016
2023-11-21,145.64825439453125,40.42167663574219
2023-11-22,145.99102783203125,40.59247589111328
2023-11-24,146.1909637451172,40.72531509399414
2023-11-27,145.8577117919922,40.82020568847656
2023-11-28,146.1909637451172,41.152305603027344
2023-11-29,146.9336395263672,41.54133987426758
2023-11-30,148.60939025878906,42.30991744995117
2023-12-01,149.3330078125,42.71793746948242
2023-12-04,150.42796325683594,42.81282043457031
2023-12-05,150.408935546875,42.21503829956055
2023-12-06,148.82838439941406,42.22452163696289
2023-12-07,149.28541564941406,43.0785026550293
2023-12-08,150.9326171875,43.742713928222656
2023-12-11,151.48483276367188,43.647830963134766
2023-12-12,152.83689880371094,44.09379196166992
2023-12-13,153.35104370117188,45.31782913208008
2023-12-14,156.1408233642578,47.927207946777344
2023-12-15,157.3214569091797,47.7374382019043
2023-12-18,158.27359008789062,47.12066650390625
2023-12-19,160.38731384277344,47.5286865234375
2023-12-20,158.57827758789062,46.81703567504883
2023-12-21,159.4827880859375,46.92141342163086
2023-12-22,159.38755798339844,46.66521835327149
2023-12-26,160.33018493652344,47.10169219970703
2023-12-27,161.2918243408203,46.80755233764648
2023-12-28,162.14877319335938,46.94987869262695
2023-12-29,161.9583740234375,46.70317077636719
2024-01-02,163.84356689453125,46.80755233764648
2024-01-03,163.1294708251953,46.19078826904297
2024-01-04,164.2120361328125,46.76010513305664
2024-01-05,165.03590393066406,47.36738204956055
2024-01-08,164.79641723632812,47.36738204956055
2024-01-09,163.49354553222656,46.76959228515625
2024-01-10,163.83839416503906,46.570335388183594
2024-01-11,163.1486358642578,46.53237533569336
2024-01-12,161.95114135742188,44.97623825073242
2024-01-16,160.93565368652344,44.4258918762207
2024-01-17,160.0734405517578,44.28356170654297
2024-01-18,160.3895721435547,44.0653190612793
2024-01-19,163.158203125,45.659423828125
2024-01-22,162.96661376953125,46.0484504699707
2024-01-23,161.89364624023438,46.60828399658203
2024-01-24,163.34024047851562,46.9593620300293
2024-01-25,165.67779541015625,47.32942581176758
2024-01-26,165.0454864501953,47.746925354003906
2024-01-29,165.4766082763672,47.775386810302734
2024-01-30,168.86795043945312,48.57243728637695
2024-01-31,167.03814697265625,47.61408233642578
2024-02-01,166.43458557128906,46.562992095947266
2024-02-02,167.39259338378906,46.973876953125
2024-02-05,167.17225646972656,46.534332275390625
2024-02-06,167.7470703125,46.1425666809082
2024-02-07,168.06320190429688,46.32412338256836
2024-02-08,167.4596710205078,46.19989013671875
2024-02-09,167.66082763671875,45.922794342041016
2024-02-12,168.4080810546875,46.74454879760742
2024-02-13,166.94232177734375,46.09478759765625
2024-02-14,168.6380157470703,46.37188720703125
2024-02-15,172.31675720214844,49.72580337524414
2024-02-16,171.5120391845703,49.601585388183594
2024-02-20,172.18264770507812,49.46780776977539
2024-02-21,173.30349731445312,50.3182373046875
2024-02-22,175.38238525390625,50.99666213989258
2024-02-23,176.2637481689453,51.464874267578125
2024-02-26,175.66021728515625,51.72286605834961
2024-02-27,175.74642944335938,52.37262344360352
2024-02-28,176.6373748779297,52.28662872314453
2024-02-29,178.24684143066406,53.11793518066406
2024-03-01,177.50917053222656,52.61150741577149
2024-03-04,178.84078979492188,53.32815933227539
2024-03-05,180.63226318359375,54.08302307128906
2024-03-06,181.57110595703125,54.57035446166992
2024-03-07,179.98080444335938,54.465240478515625
2024-03-08,180.31613159179688,54.53212356567383
2024-03-11,180.3831787109375,54.551231384277344
2024-03-12,181.86810302734375,55.04811096191406
2024-03-13,183.34344482421875,55.24877166748047
2024-03-14,180.0766143798828,54.81878280639648
2024-03-15,182.3087615966797,54.95255661010742
2024-03-18,184.56968688964844,55.20099258422851
2024-03-19,185.6522216796875,54.47478866577149
2024-03-20,188.08558654785156,54.75189208984375
2024-03-21,190.7009124755859,55.27743148803711
2024-03-22,188.36338806152344,54.58945846557617
2024-03-25,186.63897705078125,54.20724105834961
2024-03-26,187.51075744628903,54.15946960449219
2024-03-27,191.14161682128903,55.04811096191406
2024-03-28,191.88885498046875,55.38254165649414
2024-04-01,190.58596801757812,55.04811096191406
2024-04-02,190.5093231201172,54.7996711730957
2024-04-03,189.97283935546875,54.58945846557617
2024-04-04,188.52745056152344,54.15946960449219
2024-04-05,190.2619171142578,54.847450256347656
2024-04-08,191.25440979003903,55.22010040283203
2024-04-09,189.97283935546875,55.01944351196289
2024-04-10,188.35398864746097,54.407901763916016
2024-04-11,188.31544494628903,54.16901779174805
2024-04-12,176.1355743408203,53.95880889892578
2024-04-15,176.23196411132812,54.43657302856445
2024-04-16,174.21804809570312,53.9014778137207
2024-04-17,173.52427673339844,54.637229919433594
2024-04-18,174.65167236328125,56.12785720825195
2024-04-19,179.0360107421875,57.666263580322266
2024-04-22,182.51461791992188,58.382904052734375
2024-04-23,185.1452178955078,58.23002624511719
2024-04-24,186.0510101318359,57.90514373779297
2024-04-25,186.3304443359375,57.26494216918945
2024-04-26,186.44607543945312,57.245826721191406
2024-04-29,186.2437438964844,57.140724182128906
2024-04-30,184.759765625,56.68206787109375
2024-05-01,184.8754119873047,56.873172760009766
2024-05-02,184.6826934814453,57.16938781738281
2024-05-03,183.57455444335935,57.27449417114258
2024-05-06,185.01031494140625,57.51337432861328
2024-05-07,184.7694091796875,57.58027267456055
2024-05-08,188.52745056152344,58.50712966918945
2024-05-09,190.31008911132812,58.89154052734375
2024-05-10,191.53387451171875,59.47776412963867
2024-05-13,191.49530029296875,58.872314453125
2024-05-14,194.17410278320312,59.47776412963867
2024-05-15,194.75225830078125,59.91022109985352
2024-05-16,195.0991668701172,58.68011474609375
2024-05-17,197.3347015380859,58.69933319091797
2024-05-20,188.45997619628903,58.33414840698242
2024-05-21,192.2565765380859,59.06452560424805
2024-05-22,191.0905914306641,58.55518341064453
2024-05-23,189.7512054443359,57.35390090942383
2024-05-24,193.4032287597656,57.863243103027344
2024-05-28,192.23727416992188,57.16169738769531
2024-05-29,190.8979034423828,56.460147857666016
2024-05-30,192.0735015869141,56.902217864990234
2024-05-31,195.2533416748047,57.58454132080078
2024-06-03,194.4728240966797,57.02715301513672
2024-06-04,191.90968322753903,56.41209411621094
2024-06-05,190.07882690429688,56.392879486083984
2024-06-06,189.74156188964844,55.47990417480469
2024-06-07,192.6708984375,56.08534622192383
